HSC1_1	HSC1_13	HSC1_14	HSC1_2	HSC1_3	HSC1_4	HSC1_6	HSC1_7	HSC1_8	HSC1_9	HSC3_10	HSC3_12	HSC3_13	HSC3_14	CMP_4	CMP_5	CMP_6	CMP_7	MEP_1	MEP_2	MEP_3	MEP_4	MEP_5	MEP_6	MEP_7	MEP_8	MEP_9	ERY1_3	ERY1_4	ERY1_5	ERY1_6	ERY1_7	ERY1_8	ERY1_9	ERY2_3	ERY2_4	ERY2_5	ERY2_6	ERY2_7	ERY2_8	ERY2_9	ERY3_3	ERY3_4	ERY3_5	ERY3_6	ERY3_7	ERY3_8	ERY4_3	ERY4_4	ERY4_5	ERY4_6	ERY4_7	ERY4_8	ERY4_9	ERY5_3	ERY5_5	ERY5_6	ERY5_7	ERY5_8	ERY5_9	MEGA1_2	MEGA1_3	MEGA1_4	MEGA1_5	MEGA1_6	MEGA1_7	MEGA2_2	MEGA2_3	MEGA2_4	MEGA2_5	MEGA2_6	MEGA2_7	GMP_4	GMP_5	GMP_7	GMP_9	GRAN1_2	GRAN1_3	GRAN1_4	GRAN1_5	GRAN1_6	GRAN2_2	GRAN2_4	GRAN2_5	GRAN2_6	GRAN3_3	GRAN3_4	GRAN3_5	GRAN3_6	MONO1_1	MONO1_2	MONO1_3	MONO1_4	MONO2_1	MONO2_2	MONO2_3	MONO2_4	MONO2_5	EOS2_1	EOS2_2	EOS2_3	EOS2_4	EOS2_5	BASO1_3	BASO1_4	BASO1_5	BASO1_6	BASO1_7	BASO1_8	DENDA2_1	DENDA2_2	DENDA2_3	DENDA2_4	DENDA2_5	DENDA1_1	DENDA1_2	DENDA1_3	DENDA1_4	DENDA1_5	PREBCELL2_1	PREBCELL2_3	PREBCELL2_4	PREBCELL2_6	PREBCELL3_1	PREBCELL3_3	PREBCELL3_4	PREBCELL3_5	PREBCELL3_6	BCELLA1_1	BCELLA1_2	BCELLA1_3	BCELLA1_4	BCELLA1_5	BCELLA2_1	BCELLA2_2	BCELLA2_3	BCELLA2_4	BCELLA2_5	BCELLA3_1	BCELLA3_2	BCELLA3_3	BCELLA3_4	BCELLA3_5	BCELLA4_1	BCELLA4_2	BCELLA4_3	BCELLA4_4	BCELLA4_5	NKA1_1	NKA1_2	NKA1_4	NKA1_5	NKA2_1	NKA2_2	NKA2_3	NKA2_4	NKA2_5	NKA3_1	NKA3_2	NKA3_3	NKA3_4	NKA3_5	NKA4_2	NKA4_3	NKA4_4	NKA4_5	TCELLA1_11	TCELLA1_5	TCELLA1_6	TCELLA1_7	TCELLA2_10	TCELLA2_11	TCELLA2_3	TCELLA2_5	TCELLA2_6	TCELLA2_7	TCELLA2_8	TCELLA3_11	TCELLA3_3	TCELLA3_5	TCELLA3_6	TCELLA3_7	TCELLA3_8	TCELLA4_10	TCELLA4_11	TCELLA4_3	TCELLA4_5	TCELLA4_6	TCELLA4_7	TCELLA4_8	TCELLA6_10	TCELLA6_11	TCELLA6_3	TCELLA6_5	TCELLA6_6	TCELLA6_7	TCELLA6_8	TCELLA7_10	TCELLA7_11	TCELLA7_3	TCELLA7_5	TCELLA7_6	TCELLA7_7	TCELLA7_8	TCELLA8_10	TCELLA8_11	TCELLA8_3	TCELLA8_5	TCELLA8_6	TCELLA8_7	TCELLA8_8
TCL1A	-0.83247	-1.01597	-1.18797	-0.56037	-1.15517	-0.95647	-0.66277	-1.04137	-1.00427	-1.07397	-0.97877	-0.97537	-0.83787	-0.92937	-0.96387	-1.19037	-0.13297	-0.27077	-0.86917	-1.05767	-1.04417	-1.09697	-0.79377	-1.08777	-0.76527	-0.81817	-0.74777	-1.25377	-1.00117	-0.77967	-0.93937	-0.71857	-1.07087	-1.31757	-0.38637	-0.60357	1.05673	1.56693	-0.62607	-0.95467	-0.71307	-0.89177	-0.59307	-1.19727	-1.06707	-0.30277	-0.70767	-0.98827	-0.10607	0.20013	0.49743	-0.12387	-0.54927	-1.07577	0.01173	-0.70467	0.55813	-0.34867	0.88583	-0.66827	-0.01117	0.01293	1.01643	-1.08197	-0.92707	-0.61067	-0.46907	-0.68287	0.90523	-0.36837	-0.28397	0.03053	0.98853	-0.87647	0.78783	-0.59647	4.82383	3.48013	3.05583	5.15023	4.35943	3.34993	-0.55807	1.50673	1.52113	-0.95517	-0.44957	-0.25047	-0.00587	-1.03747	-0.86467	-0.79347	-0.70687	-0.75347	-1.05347	-0.80217	-0.61677	-0.13557	4.00233	4.21423	4.83633	1.10993	0.64053	2.41053	3.27203	3.44183	4.36133	2.19863	3.95663	-1.07397	-1.09787	-0.81987	-1.02367	-0.39737	2.80963	2.42413	1.63193	-0.11607	0.91043	-0.57627	-0.84257	-0.53477	-0.12047	4.02543	5.09163	4.02643	3.76743	1.13033	4.48813	4.34933	3.80863	3.78103	6.48473	-0.63367	-0.15427	0.27153	0.10783	0.35803	0.86153	-0.00467	1.32003	1.31913	2.67013	-1.16077	-1.00867	-1.27547	-1.14667	-1.18407	-0.86737	-0.77757	-1.15187	0.23833	-0.85817	-0.69287	-0.97417	-0.57187	-0.65357	-0.62037	-0.99827	-0.67117	-1.43797	-0.21707	-0.42187	-0.90907	-0.63057	-0.55137	-0.43927	-0.57567	-0.91667	-0.51867	-1.03507	-1.24007	-0.39327	-0.82737	-1.24697	-1.10587	-0.83187	-1.01507	-1.13937	-1.10997	-1.19637	-0.70397	-0.61787	-1.27377	-1.05347	-0.50357	-0.49767	-1.02227	-1.20587	-0.27697	-0.94647	-1.06077	-0.96367	-1.24777	-1.02027	-1.20127	-0.92827	-0.90177	-0.39307	-1.08157	-1.12087	-0.74797	-1.14427	-0.85827	-1.16387	-0.54317	-0.76387	-1.16457	-1.24577	-1.12677	-0.90767
SMIM14	0.17602	-0.24938	-0.37638	-0.50638	0.15482	-0.45588	-0.34408	0.51602	-0.44288	-0.66818	-0.22358	-0.20478	-0.45538	-0.43338	1.32612	-0.90378	-0.37878	0.11012	-0.56338	-0.37868	-0.31058	-0.61048	-0.44648	-1.21098	-0.47688	-0.60398	0.33312	-0.71458	0.36712	0.29912	-0.38998	-1.04658	-0.49268	-0.86198	-0.14258	-0.47758	-0.52638	-0.60528	-0.55008	-0.33578	-0.43888	-0.61168	-0.33728	-0.49928	-0.23058	-0.09158	-0.38288	0.03072	-0.07668	0.06302	0.03052	-0.96008	-0.48868	-1.15288	0.23752	0.02122	-0.78148	-0.63008	1.43982	-0.93338	0.28312	0.14942	-0.25648	-0.84938	-0.03998	0.03222	0.36792	0.34932	-0.35998	-0.29358	-0.44808	-0.54788	-0.53528	-0.37278	-0.01708	-0.64898	1.40612	1.25332	0.09962	1.54042	0.52852	0.39552	-0.42948	0.23132	0.13172	0.09572	0.89762	0.35102	0.53802	-0.19938	0.02172	-0.70888	-0.65108	-0.83838	-0.36418	-0.24098	0.14992	0.07302	0.54092	2.08442	1.97162	1.29692	1.14022	0.91882	0.89732	0.54042	1.81632	1.80852	0.52072	0.09362	-0.46458	-0.01378	-0.60088	-0.52408	0.57122	0.59782	0.97932	-0.05368	0.37042	0.79752	1.23172	0.39182	0.12952	-0.41558	-0.43928	0.17322	0.50172	-0.36418	1.12112	0.42452	1.88862	0.25002	0.69522	0.96952	1.19532	1.91052	0.62872	0.15662	1.74952	0.79422	1.66752	0.67192	0.29212	0.84362	0.48162	1.27872	-0.30628	-0.01698	-0.41658	-0.20558	0.29362	-0.15098	-0.20518	-0.01258	-0.60438	0.51742	-0.44308	0.04602	-0.09338	-0.37958	0.45392	-0.53268	-0.34308	-0.64768	0.30842	-0.84568	0.38892	-0.43648	-0.82368	-0.35728	0.38312	-0.14668	0.04772	-0.16748	0.07862	-0.73398	-0.18788	0.06062	-0.09278	-0.56478	-0.62628	0.08172	-0.16958	-0.13258	-0.16158	-0.18258	-0.53868	-0.03848	-0.83368	-0.14548	0.33992	-0.07478	0.23492	-0.29698	-0.70048	-0.76178	-0.10708	-0.42348	0.50962	-0.30758	-0.45268	-0.47108	-1.00948	-0.15558	-0.09588	-0.41018	-0.54938	-0.47148	-0.88348	-0.41058	-0.33148
DTX4	0.00939	-0.20741	-0.73241	-1.01661	-0.40141	-0.67861	-0.05371	-0.96821	-0.39471	-0.34871	-0.42551	-0.44581	-0.92091	-1.11751	-0.01291	0.79399	-0.66641	-0.56561	-0.14831	-0.83731	-0.93471	-0.08891	-0.87381	-0.87241	-0.42801	-0.40141	-0.47081	-0.25921	-0.73501	-0.45981	-0.77721	-0.59821	0.02739	-0.25651	-0.08261	0.22889	-0.18711	0.17569	-0.29021	-0.43971	0.26089	-0.48191	0.13419	-0.20191	0.02189	0.93149	0.44539	0.21289	1.22689	-0.00401	-0.03301	-0.37991	-0.47201	-0.36041	-0.18461	0.29199	0.39469	-0.10831	-0.63031	-0.31121	-0.14371	-0.27241	0.41779	-0.70601	-0.51221	-0.65201	-0.75751	-0.16971	0.24859	-0.53111	-0.30391	-0.53441	1.57189	-0.81711	-0.16471	-0.52861	0.78269	1.44969	-0.45191	1.55339	0.68669	0.64229	0.34929	0.67159	0.88069	-0.23101	0.06189	0.26559	0.18829	0.28919	0.10289	-0.61171	-0.44191	0.47039	0.65279	0.26579	0.76519	0.10199	1.20879	1.97569	1.37619	1.19699	1.07779	0.74239	1.44579	0.56039	1.88609	1.23289	1.94769	0.62439	-0.15861	0.12379	0.29919	-0.49441	2.15849	0.85629	0.26319	2.09329	-0.31921	-0.32271	-0.03501	-0.38531	-0.21441	0.11039	2.28129	0.85799	-0.07951	-0.07591	1.53879	1.52819	1.80429	1.86669	2.04529	1.08319	0.91079	1.38749	1.33619	0.77199	0.87839	0.54839	0.51659	0.82769	0.48579	0.56529	1.35889	0.54289	0.28459	0.19749	-0.40691	0.08399	-0.17121	-0.66451	-0.79521	-0.76111	-0.63961	-0.67191	-0.46641	-0.80531	-1.16791	-0.31791	-0.25891	-0.91991	-0.62431	0.09619	-0.98041	-0.54491	-0.15201	0.33559	-0.28041	-0.76671	-0.65881	-0.02431	0.10809	-0.77831	-0.49701	-0.19471	-0.44321	-0.64111	-1.22251	-1.03941	-0.91281	-0.58881	-0.48991	-0.50981	-0.66801	-0.11621	-0.33831	-0.39501	-0.77091	-0.63401	0.24089	-0.27231	-0.15771	-0.72011	-0.21901	-0.87061	-0.24951	-0.80221	-0.35641	-0.84301	-0.51571	-0.26911	-0.53551	-0.39791	-0.20791	-0.25981	-0.54171	-0.26171	-0.35421	-1.16381	-0.73991
CORO2B	-0.62964	-0.98374	-0.59994	-0.63854	-0.78354	0.11106	-0.61944	-0.67944	-0.67664	-0.97654	-0.88474	-0.71474	-0.68054	-0.96644	0.40496	-0.59154	1.10336	-0.26774	-0.67614	-0.70434	-0.91274	-0.45214	-0.10144	0.07276	-0.36374	0.12076	-0.09944	-1.01424	-0.62114	-0.22214	-0.87464	-0.61704	-0.44094	-0.76284	1.01966	-0.49104	0.28656	-0.44104	-0.87794	-0.79954	-0.68464	-0.90154	1.17266	-0.85414	-0.02364	-0.44934	-0.68514	-0.48304	-0.19804	1.45136	-0.34414	-0.37714	0.15036	-1.16654	0.45286	-0.16934	-0.35704	0.24456	-0.68454	-0.45224	0.07246	0.71926	0.29846	-0.64544	0.03986	-0.73504	-0.39684	-0.06934	-0.25544	0.76316	-0.98194	0.81166	-0.25924	-0.81154	-0.15784	0.45406	3.32456	2.05596	-0.09554	2.47016	2.60666	0.57396	-0.83784	-0.33644	-0.71424	-0.27104	-0.66784	-0.88924	-0.79144	-0.59854	-0.91184	-0.87314	0.26136	-0.77254	-0.79824	-0.88344	0.03636	-0.50314	1.93536	1.79846	2.32756	0.12666	-0.03554	1.68096	1.73806	2.08486	1.28616	0.67056	1.86666	-0.66694	-0.70214	0.05836	-0.32254	0.93936	-0.56404	0.56906	1.26276	0.06096	0.77256	2.20096	1.69006	1.44546	1.03426	1.88696	2.32616	0.51916	2.06736	1.10336	2.29106	2.83486	2.76876	2.43536	3.31026	-0.65194	-0.66484	0.09766	-0.83054	-0.22734	-0.38354	0.48236	1.42026	0.90686	1.14336	-0.55334	-0.27794	-0.22174	-0.09744	-0.65834	-0.01624	-0.26274	-0.46224	0.37136	-0.23454	-0.32684	-0.83904	0.14196	0.16936	0.52736	-0.48234	0.15466	-0.22514	0.14576	0.46276	-0.41304	-0.20164	0.25056	0.14176	-0.35864	-1.17294	-0.48634	-0.59584	0.27636	-0.50094	-0.99914	-0.63664	-0.53124	-0.76744	-0.41854	-0.09964	-0.58514	-0.51234	-0.91524	-0.32414	-0.01044	-0.25284	-0.58204	-0.69084	-0.61504	-0.90274	0.18716	-0.06854	-0.60584	-0.46184	-0.51074	-0.61654	-0.79524	-0.58204	0.35346	0.73526	-1.09404	-0.42304	-0.58834	-0.36224	-0.88454	-0.36024	0.37456	-0.63304	-0.68334	-0.51944	-0.92364	-0.86754
TMEM156	-0.66572	0.33508	-0.10242	-0.13942	0.41658	-1.36702	0.15548	-0.31302	-0.45432	-1.10232	0.43098	0.34878	-0.66212	-0.29512	-0.55872	-0.54442	-1.41222	-0.93192	-0.16272	-0.69602	0.19138	0.48968	-0.59992	-0.07942	0.06348	-0.31482	0.58428	-0.66182	-1.40882	-1.42542	-0.75912	-0.73622	-0.52922	-0.11522	-0.92532	-1.38062	-0.12102	0.42478	-1.07612	-1.16062	-1.67452	-2.25082	-0.90592	-1.46202	0.27958	-1.56782	-1.19612	-1.36642	-1.37052	-1.49032	-1.27752	-0.82622	-0.98482	-1.62332	-2.22172	-1.35672	-1.47312	-1.11542	-1.42282	-1.57862	-0.87012	-0.07102	0.90948	-0.90282	-0.34772	-1.26702	-1.80232	-1.03322	0.47058	-0.66062	-0.06562	-1.55072	0.03348	0.03598	-1.29472	0.20418	2.22298	2.47238	1.17518	2.37618	1.53688	1.31098	-1.25912	-0.71852	-1.07442	0.48748	0.36368	-0.50802	-0.94222	-1.11052	0.31518	-2.17562	-2.13782	-1.48002	-1.48372	-1.84642	-1.67682	-1.73252	1.48718	2.65628	1.34188	0.47868	-0.58452	1.45358	1.82818	1.18378	2.03568	1.81468	1.96858	-0.30822	-0.10092	0.13618	-0.29542	-0.08512	0.21468	-1.07232	-0.29802	-0.93052	-1.20392	0.53388	-0.20522	-2.01952	0.76118	0.07248	1.37238	1.12018	-0.67232	0.92008	1.96938	1.44628	2.53158	1.30968	2.65838	1.94508	1.57588	2.67208	1.47948	1.40888	3.02948	2.04328	2.23118	1.90608	1.35288	2.29638	2.53598	2.07418	1.53948	1.72758	-1.40112	-1.41132	-1.51512	-1.74472	0.50298	0.42528	0.73118	0.38998	0.32958	0.02358	0.13198	0.38938	0.48508	-0.99832	-0.35092	-1.64432	0.74448	-0.85522	0.53328	0.76808	-1.50942	-0.20372	-0.39452	-0.23912	0.26128	-0.25662	-0.06282	-0.04322	-0.54242	0.43378	0.17578	0.44998	-0.31712	0.79948	0.63358	-0.45442	0.50428	0.77168	0.36338	0.64768	-0.16622	-0.53662	0.16208	0.15908	-1.18962	-0.12082	-0.72722	-1.02692	-0.25662	1.34758	1.07148	0.51608	0.61508	1.11398	0.60128	1.35218	0.66058	1.11048	1.38178	0.58248	0.08778	0.46988	1.14778
KIAA0040	-1.34046	-0.65236	-0.38496	-0.73606	-0.77686	-0.60306	-0.70286	-0.87206	-0.55376	-1.61346	-0.63626	-1.44216	-0.85506	-1.00696	-0.75376	-0.58266	-0.13846	-0.14696	-0.29676	-0.30866	-0.80936	-0.70076	-0.34866	-0.68986	-0.71986	-0.70296	-0.50186	-0.64496	-0.57606	-0.92576	-1.52826	-0.47576	-0.85236	-1.08926	-0.78276	-1.19716	-0.25986	0.06594	-1.15766	-1.18096	-1.69176	-1.37946	-0.80506	-1.33056	-0.86626	-0.48416	-0.66226	-1.45026	-0.79136	0.24474	-0.77926	-0.60326	-1.02156	-1.45256	-1.78876	-0.85526	-0.88726	-0.88316	-0.94026	-1.48906	-0.26436	-0.50006	0.27954	-0.75926	-0.48196	-0.07606	-0.32096	-1.51496	0.05844	-0.45726	-0.11506	0.08674	0.62724	-0.64846	0.15594	-0.28186	2.42144	2.13104	0.83754	3.03364	2.25754	1.19154	0.25934	0.90304	1.20074	-0.24646	-0.47086	-0.36066	0.30764	-0.40886	-0.38036	-0.21876	-0.20626	0.50814	0.93954	0.86574	0.86364	-0.05806	1.19904	2.68794	2.08664	-0.31866	0.08644	0.34014	1.78244	1.34334	2.03674	1.21594	1.74304	-0.38566	-0.35426	-0.36246	-0.57056	0.57794	-0.86096	-0.31706	-0.70526	-0.79366	0.63864	0.78794	0.43874	0.59854	-0.32666	1.83974	1.49694	0.74304	0.76704	-0.43216	1.63754	1.36844	2.12534	0.12414	1.87124	1.86544	1.36604	2.22884	0.83034	0.84034	1.16924	-0.41186	0.50774	-0.06506	0.53224	1.08554	0.23024	1.08624	0.08094	0.73214	-0.52606	-0.68806	-0.97146	0.21954	0.37024	0.01414	0.16554	0.20044	0.72394	-0.70176	-0.58146	-0.07256	-0.84596	-0.02136	-0.19286	-1.21396	0.72364	0.27764	0.29814	-0.12636	-0.21746	-0.02316	-0.51766	0.61434	0.24884	-0.06426	0.51294	0.25774	0.56374	0.00164	0.44734	-0.29266	0.38544	-0.35326	0.50444	-0.59476	-0.02596	0.33914	0.41414	0.12004	-0.75366	0.32084	-0.11206	-0.19196	-0.66876	0.09014	0.06554	-0.25196	0.30644	0.25394	0.48784	0.37704	0.56774	0.49304	0.24324	0.27714	-0.11066	0.18084	0.43014	-0.28276	0.95414	-0.22346	0.22694
CD40	-0.38139	-0.44099	-0.52259	-0.33039	-0.46519	-0.37079	-0.42029	-0.43359	-0.34489	-0.50239	-0.40799	-0.38149	-0.60129	-0.19149	-0.30949	-0.08319	-0.14759	0.02681	-0.33289	-0.40409	-0.43979	-0.42599	-0.40539	-0.51739	-0.50199	-0.33089	-0.45829	-0.15569	-0.09459	-0.37759	-0.24639	-0.43909	-0.63189	-0.40959	0.13031	-0.36299	-0.40269	-0.42299	-0.17939	-0.34519	0.13471	0.71591	0.12731	-0.32439	-0.21869	0.16131	-0.06749	0.04331	0.39431	0.28611	0.13871	-0.01409	-0.39239	-0.45039	0.36961	-0.09819	0.08031	-0.24729	0.38491	-0.11479	-0.15229	-0.19699	-0.18659	-0.15479	-0.27149	-0.28459	0.04531	0.07651	-0.07639	0.09731	-0.30259	0.11181	0.06751	-0.36549	-0.50389	-0.32839	0.74411	1.15761	-0.28119	1.37681	0.42701	-0.04749	-0.47399	-0.21359	-0.26169	-0.41709	-0.20009	-0.03089	-0.16849	-0.41919	-0.26479	0.07261	-0.37959	-0.29269	-0.46869	-0.17179	-0.32699	-0.08709	-0.12799	1.11941	0.35821	-0.28729	-0.22539	0.21731	-0.28719	0.87941	0.30521	0.09021	1.01281	-0.37009	-0.28509	-0.40339	-0.29859	0.43431	-0.50639	-0.39799	-0.29399	-0.03229	0.48181	-0.13849	0.00621	-0.20449	-0.15969	-0.07379	0.27851	0.43561	0.28851	0.15771	1.61851	1.57551	3.25411	1.83441	2.52651	1.14761	1.01241	1.89531	1.76381	1.25571	2.45521	1.70421	1.09871	2.54481	1.17271	1.26421	1.81241	1.24571	1.53361	1.40021	-0.35109	-0.20639	-0.39909	-0.03189	-0.23909	-0.25879	-0.47579	-0.29769	-0.28299	-0.21229	-0.53099	-0.30729	-0.33109	-0.07919	-0.06319	-0.45529	-0.25459	-0.24569	0.11051	-0.25629	-0.45309	-0.07339	-0.52009	-0.13459	-0.16729	-0.27109	-0.57069	-0.48679	-0.35329	-0.25589	-0.49519	-0.32669	-0.60099	-0.46529	-0.36369	-0.11949	-0.38939	-0.34599	-0.24299	-0.26809	-0.23089	-0.20049	-0.36889	-0.13559	-0.24229	-0.43159	-0.46999	-0.37589	-0.39579	-0.34629	-0.23859	-0.38829	-0.31329	-0.27629	-0.53349	-0.37869	-0.29119	-0.22679	-0.14879	-0.37599	-0.48709	-0.33269	-0.52249
IFT57	-0.98984	0.30536	0.25856	0.61596	-0.03744	0.19656	0.64256	-0.38804	0.50266	0.37496	0.36926	0.76116	0.98716	-0.29664	0.44746	-0.29294	-0.71114	1.38966	-0.60974	0.02626	-0.66084	-0.47524	0.78436	-0.50094	-0.17574	-0.63674	-0.23874	-0.63154	-0.70294	-0.17474	-1.56944	-0.58674	-0.53724	-0.33704	0.12776	0.00626	-0.39514	-0.44484	0.06516	0.78086	-2.49904	-4.09454	-0.77004	-1.82894	-0.84164	-1.98354	-2.18344	-3.13394	-2.67514	-0.38104	-3.29954	-0.23594	-0.47824	-1.09304	-4.04114	-1.98344	-1.75144	-1.17774	-3.20284	-1.74524	-0.87314	0.12326	0.36096	-0.41284	-0.84874	1.13546	0.90246	-0.20134	0.63126	-1.06154	-0.02044	0.71776	0.73196	-1.37284	-0.61534	-0.00244	1.35936	1.46756	0.28346	1.94026	1.09986	-0.58804	-1.38804	-0.61584	-0.15264	-1.19584	-0.86884	-0.68304	-1.18844	-0.13964	0.98016	0.73906	0.58286	-1.10024	-0.60454	-0.50564	-1.26344	-0.81324	0.64286	0.99496	0.62416	-0.10924	-0.52834	0.78646	0.43006	1.38156	1.39136	0.57046	1.74486	-0.19554	-0.12134	-0.51404	-0.37414	0.32186	-0.20724	-0.57464	-0.47104	-0.05924	0.73626	0.67656	-0.60104	1.02966	-0.41934	1.19426	0.95666	0.98406	0.97976	0.66266	1.52646	2.09756	2.05546	2.19526	2.74376	2.01696	2.11056	2.72426	2.79286	1.89876	3.01826	2.16946	1.62426	2.60976	1.84776	1.88826	2.60186	1.56676	1.88586	1.31736	-0.10544	0.42936	-0.50974	0.25556	-1.40634	-0.62244	-1.04904	-0.80834	-0.79664	-0.34694	-0.45554	-0.71744	-0.24404	0.21966	0.75866	0.53076	0.01016	-0.13544	-1.05854	-1.68874	-0.58614	-1.28614	0.67736	0.00626	-0.17094	-0.47074	-0.24014	-0.24964	-0.41644	-0.51244	-0.88494	-0.61504	-0.53854	0.21826	0.21726	0.58016	-0.19264	-0.61164	0.20366	-1.08534	0.25466	-0.07204	0.88476	0.22906	-0.08864	-0.10774	0.64886	-0.05064	0.29106	0.67156	0.09786	-0.33714	0.11886	-0.13264	-0.10534	0.24486	0.55786	0.51116	0.44136	-0.05644	-0.16004	0.67946	0.16466
PWP1	0.20519	0.51819	0.24749	0.51289	0.00999	-0.41701	0.39079	0.48379	0.39629	0.22849	0.13209	0.44419	0.32199	0.07549	0.00979	-0.81861	-1.10441	-0.68011	0.15589	0.13659	-0.11331	0.32819	-0.56101	0.07979	-0.15661	0.07739	0.40829	0.45599	-0.67031	-0.05891	-0.34381	-0.07411	-0.02651	0.30219	-0.34691	0.11319	-0.15441	0.08289	0.63669	0.44239	0.43399	-0.38951	-1.15481	-1.16061	-1.47271	-0.80281	-0.32361	-0.59481	-1.75911	-1.21491	-1.44391	-0.29801	-0.96551	0.42479	-1.30471	-1.55131	-0.76521	-1.22021	-0.54471	-1.41731	-0.30451	-0.17701	0.41059	0.55289	-0.01661	-0.89531	-1.28651	-0.21761	0.07199	-0.56211	-0.36501	-1.27321	0.22389	-0.19231	-0.44811	0.25289	0.75469	1.42869	0.03909	1.07019	0.20149	0.30749	-0.78491	-0.34871	-0.41231	-0.89211	-0.00101	0.30509	-0.54091	-0.25341	-0.30311	-0.91411	-0.70431	-0.20961	0.19099	0.07399	-0.56761	-0.88471	-0.47311	0.48639	0.56959	-0.66341	-0.31481	-0.51721	-0.29041	-0.59601	0.04019	-0.15881	0.57779	0.22389	-0.59391	-0.61701	-0.57741	-0.80471	0.52159	-0.71701	-0.92831	-0.36491	-1.06641	0.05589	-0.97731	-0.93751	-0.19541	0.71439	-0.14091	-0.29601	-0.63311	-0.20531	1.01779	1.29219	1.77049	1.53379	1.81639	0.96509	1.17029	1.50289	1.69749	0.94229	1.99329	1.70429	1.02319	1.55519	0.87279	1.07269	1.52489	1.17569	1.57729	1.21919	-0.17931	-0.09071	-0.26451	-1.08391	0.23009	0.19429	0.79629	-0.01351	-0.00931	0.23489	-0.02681	-0.16601	0.15009	-0.58521	-0.89761	0.08919	0.07699	-1.20361	-0.47551	0.22649	0.48979	0.67519	0.46169	0.54149	0.40419	0.66039	0.17569	0.21299	0.76359	-0.01061	-0.23751	-0.03411	0.10329	0.24279	-0.11881	0.06309	-0.29391	0.54629	0.46619	-0.04701	0.84149	-0.33531	0.17859	0.04869	-0.26531	-0.16391	-0.25471	0.24019	0.30449	-0.07971	-0.33091	0.00539	-0.24641	0.25619	0.12269	0.69129	0.05229	-0.40571	0.47789	-0.14251	-0.19791	0.55489	0.55919
LARGE	-0.79843	-1.17683	-1.14463	-0.74613	-1.14743	-0.19593	-0.91003	-0.78083	-0.44623	-1.08173	-0.48783	-0.97383	-1.02783	-0.26793	-0.75663	-0.62943	-0.20293	-0.48533	-0.14423	-0.56523	-0.96983	-0.48993	-0.53053	-0.86233	-0.65013	0.16087	-0.84053	-0.23073	-0.51223	-0.69973	-1.10403	-0.86563	-1.02453	-0.22973	-0.81673	-0.70883	-0.54243	-0.93623	-0.75473	-1.02373	-0.88623	-0.28863	0.86837	-0.73683	-0.65833	2.31417	-0.73383	-0.23543	1.77447	0.09847	-0.31733	-0.73053	0.33277	-0.62853	-0.31713	-0.00553	-0.21613	-0.31413	-0.51013	-1.31433	0.27497	-0.68733	0.63767	-0.49893	-0.53733	-0.70133	-0.17683	-0.80713	-0.11863	-0.51003	-0.54043	-0.67113	-0.61603	-0.72423	-0.70343	-0.70203	0.84137	2.80837	-0.67443	2.25687	0.55027	-0.57783	-0.98113	-0.18373	-0.96213	-1.17793	-0.92253	-0.87073	-1.22843	-0.83573	-0.86603	-0.95833	-0.53533	-1.02853	-1.34483	-0.66663	-1.10023	-0.90183	-0.68903	-0.02093	0.25607	-0.60293	-0.51873	0.16487	-0.29093	1.09347	0.81647	0.12397	3.54537	-0.83603	-0.94423	-1.04383	-1.18253	-0.39823	-0.52623	-1.04033	-0.86993	-0.68373	0.19197	-0.55213	-0.64373	0.14927	-0.90093	-0.89373	-1.00633	-0.63443	1.25277	-0.65493	3.56357	3.33897	7.12047	3.65377	5.09957	2.39697	2.15027	4.33947	3.99607	2.66947	5.50617	5.03827	3.40987	5.33257	3.26077	2.86777	3.03257	2.91727	2.83517	2.48597	-0.88083	-0.79293	-0.96543	-0.67183	0.93357	0.28677	2.89877	-0.61383	-0.32803	1.00027	-0.35333	1.12937	2.07627	0.54597	0.03707	-0.95083	-0.77453	-0.96373	-0.03383	-0.13033	-0.01243	0.63367	-0.66793	-0.14743	-0.24083	-0.12043	-0.32323	-0.52933	-0.01293	-0.74453	-1.07013	-0.91323	-0.62383	-0.99473	-1.06093	-0.78413	-0.08873	-0.28293	-0.66503	-0.20193	-0.37393	-0.41483	-0.53373	-0.48893	-0.89553	-1.07833	-0.64453	-1.11123	-0.24993	0.10957	-0.90903	-1.02273	-0.68153	-0.50443	-0.28733	-1.03093	-0.75553	-0.20923	-0.57023	-0.66583	-0.49453	-0.23643	-0.67563
